firstName,lastName,email,phoneNo,address,gender,dob
Jane, Doe, jane1@mail.com, 1234567895, "221B Baker Street, London", female, "2020-01-21"
Kenny, Denver, kenny@mail.com, 1234567895, "221B Baker Street, London", male, "2020-01-21"
Mitchell, Backster, mitchell@mail.com, 1234567895, "221B Baker Street, London", male, "2020-01-21"
Jane, Doe, jane1@mail.com, 1234567895, "221B Baker Street, London", female, "2020-01-21"
Kenny, Denver, kenny@mail.com, 1234567895, "221B Baker Street, London", male, "2020-01-21"
Mitchell, Backster, mitchell@mail.com, 1234567895, "221B Baker Street, London", male, "2020-01-21"
Jane, Doe, jane1@mail.com, 1234567895, "221B Baker Street, London", female, "2020-01-21"
Kenny, Denver, kenny@mail.com, 1234567895, "221B Baker Street, London", male, "2020-01-21"
Mitchell, Backster, mitchell@mail.com, 1234567895, "221B Baker Street, London", male, "2020-01-21"
Jane, Doe, jane1@mail.com, 1234567895, "221B Baker Street, London", female, "2020-01-21"
